SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
192	VFG002504	53717874	fliS__1	flagellar protein FliS	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
193	VFG002491	53717666	fliM__5	flagellar motor switch protein FliM	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
194	VFG002471	53722574	bprP	regulatory protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
195	VFG002457	53722560	bsaU	Type III secretion system protein BsaU	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
196	VFG002511	53717914	flgE__14	flagellar hook protein FlgE	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
197	VFG002424	53722514	bimA__2	YadA family of bacterial autotransporter mediating actin tail formation	BimA	VF0427	Burkholderia pseudomallei K96243	Actin-based motility
198	VFG002540	53722204	bspR2	N-acyl-homoserine lactone dependent regulatory protein	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
199	VFG002539	53722208	bspI2	N-acylhomoserine lactone synthase	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
200	VFG002484	53722528	tagC-5	Type VI secretion system protein TssF	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
201	VFG002560	53720410	wcbG	capsular polysaccharide biosynthesis protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
202	VFG002442	53722545	bopA	putative Type III secretion system effector BopA	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
203	VFG002436	53721820	boaA__1	surface-exposed protein, autotransporter	Burkholderia Oca-like adhesin A	VF0434	Burkholderia pseudomallei K96243	Adherence
204	VFG002507	161723214	flgA__8	flagellar basal body P-ring biosynthesis protein FlgA	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
205	VFG002563	53720413	wzt2__2	ATP-binding ABC transporter capsular polysaccharide export protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
206	VFG002532	53720917	cheY1	chemotaxis two-component response regulator CheY1	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
207	VFG002459	53722562	bsaS	ATP synthase	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
208	VFG002482	53722526	tagAB-5	Type VI secretion system protein	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
209	VFG002559	53720409	wcbH	glycosyl transferase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
210	VFG002439	53722542	bprD	Type III secretion system secreted protein BprD	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
211	VFG002562	53720412	wcbE	glycosyltransferase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
212	VFG002552	53720402	wcbN	D-glycero-d-manno-heptose 1,7-bisphosphate phosphatase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
213	VFG002430	53722618	pilS__8	major pilin subunit	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
214	VFG002514	53717917	flgH__3	flagellar L-ring protein precursor FlgH	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
215	VFG002468	53722571	basJ__2	Type III secretion system protein BsaJ	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
216	VFG002458	53722561	bsaT	Type III secretion system protein BsaT	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
217	VFG002494	53717669	fliP__2	flagellar biosynthesis protein FliP	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
218	VFG002506	53717909	flgM__1	negative regulator of flagellin synthesis	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
219	VFG002557	53720407	wcbJ	capsular polysaccharide biosynthesis protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
220	VFG002476	53722520	tssD-5	hemolysin-coregulated protein Hcp1	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
221	VFG002508	53717911	flgB__1	flagellar basal-body rod protein FlgB	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
222	VFG041780	53722412	chbp	Type III secretion system secreted effector CHBP, cyclomodulin Cif homolg	TTS3	SS014	Burkholderia pseudomallei K96243	Secretion system
223	VFG002535	53720929	fliC__7	flagellin	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
224	VFG002529	53720914	tsr	methyl-accepting chemotaxis protein I	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
225	VFG002534	53720919	motA__4	flagellar motor protein MotA	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
226	VFG002461	53722564	bsaQ	Type III secretion system protein BsaQ	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
227	VFG002480	53722524	tssH-5/clpV	Clp-type ATPase chaperone protein	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
228	VFG002542	53722590	bspR3	N-acylhomoserine lactone-dependent regulatory protein	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
229	VFG002429	53722616	pilV__1	type IV pilus biogenesis protein PilV	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
230	VFG002486	53722530	tssJ-5	Type VI secretion system protein TssH	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
231	VFG002558	53720408	wcbI	capsular polysaccharide biosynthesis protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
232	VFG042965	53722621	pilP__13	type IV pilus biogenesis protein PilP	type IV pili	AI120	Burkholderia pseudomallei K96243	Adherence & invasion
233	VFG042966	53722624	pilL__4	type IV pilus biosynthesis protein PilL	type IV pili	AI120	Burkholderia pseudomallei K96243	Adherence & invasion
234	VFG002489	53722533	tssM-5	icmF-like protein	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
235	VFG002528	53720913	cheR__1	chemotaxis protein methyltransferase	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
236	VFG002488	53722532	tssL-5	Type VI secretion system protein TssJ	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
237	VFG002463	53722566	bsaO__1	Type III secretion system protein BsaO	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
238	VFG002501	53717871	fliG__9	flagellar motor switch protein G	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
239	VFG002493	53717668	fliO__1	flagellar protein FliO	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
240	VFG002526	53720911	cheB__2	chemotaxis-specific methylesterase	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
241	VFG002524	53720909	cheZ__3	chemotaxis regulator CheZ	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
242	VFG002569	53720419	manC	GDP-mannose pyrophosphorylase	LPS	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
243	VFG002521	53720903	flhF__2	flagellar biosynthesis regulator FlhF	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
244	VFG002467	53722570	bsaK__2	Type III secretion system protein BsaK	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
245	VFG002465	53722568	bsaM	Type III secretion system protein BsaM	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
246	VFG002447	53722550	bipD	Type III secretion system needle tip protein BipD	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
247	VFG002522	53720904	flhA__1	flagellar biosynthesis protein FlhA	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
248	VFG002469	53722572	orgA__1	Type III secretion system protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
249	VFG002555	53720405	wcbL	sugar kinase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
250	VFG002435	53722625	pilT__3	twitching motility protein	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
251	VFG002513	53717916	flgG__1	flagellar basal body rod protein FlgG	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
252	VFG002441	53722544	bicP	chaperone	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
253	VFG002460	53722563	bsaR	Type III secretion system protein BsaR	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
254	VFG002479	53722523	tssG-5	Type VI secretion system protein TssE	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
255	VFG045467	53718898	cdpA	cyclic di-GMP phosphodiesterase	CdpA	VF0432	Burkholderia pseudomallei K96243	Signaling
256	VFG002490	161723215	fliL__5	flagellar basal body protein FliL	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
257	VFG002497	53717867	fliK__9	flagellar hook-length control protein FliK	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
258	VFG002446	53722549	bapA	Type III secretion system secreted protein BapA	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
259	VFG002509	53717912	flgC__4	flagellar basal body rod protein FlgC	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
260	VFG002481	53722525	tssI-5	Type VI secretion system protein VgrG1	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
261	VFG002428	53720619	pilD__1	type IV prepilin leader peptide type M1	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
262	VFG002425	53718421	pilA__4	type IV fimbrial pilin protein	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
263	VFG002505	53717908	flgN__7	flagella synthesis protein FlgN	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
264	VFG002553	53720403	wcbM	D-glycero-d-manno-heptose 1-phosphate guanosyltransferase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
265	VFG002561	53720411	wcbF__1	capsule polysaccharide biosynthesis protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
266	VFG002438	53722541	bprC__2	AraC family transcriptional regulator, regulates basal T6SS1 expression	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
267	VFG002518	53717922	flgL__12	flagellar hook-associated protein 3 FlgL	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
268	VFG002470	53722573	orgB__1	Type III secretion system protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
269	VFG002537	53721909	pmlI/bspI1	N-acylhomoserine lactone synthase	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
270	VFG002515	161723212	flgI__2	flagellar P-ring protein precursor FlgI	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
271	VFG002434	53722623	pilN__2	type IV pilus inner membrane platform protein PilN	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
272	VFG002433	53722622	pilO__4	type IV pilus inner membrane platform protein PilO	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
273	VFG002444	53722547	bapC	invasion protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
274	VFG002456	53722559	bsaV	Type III secretion system protein BsaV	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
275	VFG002426	53720617	pilB__10	type IV pilus assembly protein	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
276	VFG002483	53722527	tagB-5	Type VI secretion system protein	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
277	VFG002500	53717870	fliH__16	flagellar assembly protein H	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
278	VFG002550	53720400	wcbP	capsular polysaccharide biosynthesis dehydrogenase/reductase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
279	VFG002530	53720915	cheW__2	chemotaxis protein CheW	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
280	VFG002464	53722567	bsaN	AraC family transcriptional regulator, regulates basal T6SS1 expression	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
281	VFG002527	53720912	cheD__2	chemoreceptor glutamine deamidase CheD	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
282	VFG002432	53722620	pilQ__9	type IV pilus biosynthesis protein	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
283	VFG002543	53721347	bspR4__2	LuxR family transcriptional regulator	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
284	VFG002449	53722552	bipC	Type III secretion system translocator protein BipC	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
285	VFG002567	53720417	wcbB	capsular polysaccharide glycosyltransferase biosynthesis protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
286	VFG002533	53720918	motB__4	flagellar motor protein MotB	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
287	VFG002466	53722569	bsaL	Type III secretion system protein BsaL	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
288	VFG002517	53717921	flgK__1	flagellar hook-associated protein 1 FlgK	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
289	VFG002551	53720401	wcbO	capsule polysaccharide biosynthesis/export protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
290	VFG002566	53720416	wcbC	capsular polysaccharide biosynthesis/export protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
291	VFG002450	53722553	bipB	Type III secretion system translocator protein BipB	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
292	VFG002437	53719320	boaB	autotransporter protein	Burkholderia Oca-like adhesin A	VF0435	Burkholderia pseudomallei K96243	Adherence
293	VFG002462	53722565	bsaP__2	Type III secretion system gate keeper protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
294	VFG002473	53722537	bopC__2	Type III secretion system effector BopC	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
295	VFG002536	53720930	fliD__8	flagellar capping protein FliD	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
296	VFG002427	53720618	pilC__11	type IV pilus assembly protein PilC	type IV pili	VF0431	Burkholderia pseudomallei K96243	Adherence
297	VFG002547	53720397	wcbS	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
298	VFG002541	53722591	bspI3	N-acylhomoserine lactone synthase	Quorum sensing	VF0433	Burkholderia pseudomallei K96243	Signaling
299	VFG002445	53722548	bapB	acyl carrier protein	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
300	VFG002525	53720910	cheY__1	chemotaxis protein CheY	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
301	VFG002492	53717667	fliN__2	flagellar motor switch protein FliN	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
302	VFG002531	53720916	cheA__3	chemotaxis two-component sensor kinase CheA	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
303	VFG002564	53720414	wzm__1	capsular polysaccharide export ABC transporter transmembrane protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
304	VFG002495	53717670	fliQ__3	flagellar biosynthesis protein FliQ	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
305	VFG002451	53722554	bicA	chaperone	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
306	VFG002568	53720418	wcbA	capsule polysaccharide export protein	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
307	VFG002510	161723213	flgD__3	flagellar basal-body rod modification protein FlgD	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
308	VFG002516	53717919	flgJ__8	flagellar rod assembly protein/muramidase FlgJ	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
309	VFG002474	53722518	tssB-5	Type VI secretion system protein TssA	T6SS-1	VF0429	Burkholderia pseudomallei K96243	Secretion system
310	VFG002443	53722546	bopE	Type III secretion system secreted effector, G-nucleotide exchange factor	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
311	VFG002503	53717873	fliE__5	flagellar hook-basal body complex protein FliE	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
312	VFG002548	53720398	wcbR	capsular polysaccharide biosynthesis fatty acid synthase	Capsule	VF0436	Burkholderia pseudomallei K96243	Antiphagocytosis
313	VFG002499	53717869	fliI__2	flagellum-specific ATP synthase FliI	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
314	VFG002440	53722543	bprB	two-component response regulator	Bsa T3SS	VF0428	Burkholderia pseudomallei K96243	Secretion system
315	VFG042964	53722617	pilM__9	type IV pilus inner membrane platform protein PilM	type IV pili	AI120	Burkholderia pseudomallei K96243	Adherence & invasion
316	VFG002519	53720901	fliA__4	flagellar biosynthesis sigma factor	Flagella	VF0430	Burkholderia pseudomallei K96243	Invasion
317	VFG001921	15792654	ptmB	acylneuraminate cytidylyltransferase	O-linked flagellar glycosylation	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
318	VFG001893	15791452	fliM__2	flagellar motor switch protein FliM	Flagella	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
319	VFG001909	15791909	fliD__5	flagellar capping protein FliD	Flagella	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
320	VFG001976	121582658	virB8__5	Type IV secretion system protein VirB8	Type IV secretion system	VF0325	Campylobacter jejuni subsp. jejuni 81-176	Secretion system
321	VFG001900	15791703	flhB__10	flagellar biosynthetic protein	Flagella	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
322	VFG001958	15792748	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	Capsule	VF0323	Campylobacter jejuni subsp. jejuni NCTC 11168	Adherence
323	VFG001901	15791704	motB__13	flagellar motor protein MotB	Flagella	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
324	VFG001916	15792213	flhA__2	flagellar biosynthesis protein FlhA	Flagella	VF0114	Campylobacter jejuni subsp. jejuni NCTC 11168	Motility
